#FORMAT:Barcode|Name|SaleRate
8851032399011|Polac Pineapple 545gm|400.0
4794236284001|Natures Own 400gm|620.0
8858951905743|Fruit Cocktail 800gm|500.0
8888011050045|C.B.C Coconut Oil 680gm|930.0
8964001358244|Bazuri 800ml|390.0
8964000122105|Rooh Afza 800ml|440.0
855434000016|Jam-e-Shirin 800ml|450.0
8964000057469|Marhaba Gulbahar 800ml|350.0
8966000005204|Quice 800ml|440.0
620514000701|National Mixed Pickle 900g|620.0
620514009728|National Mixed Pickle 370g|310.0
620514000688|National Mango Pickle 900g|600.0
620514015699|National Crushed Pickle|385.0
6284792268006|Key Trio Pack 120ml X 3|200.0
8964000192320|Sucral 100gm|895.0
8964002706174|Olper'S Desi Ghee 500gm|1200.0
7860000100055|Olper'S Desi Ghee 1kg|2350.0
8966000005259|Quice 1.5Ltr|770.0
8964000122112|Rooh Afza 1.5Ltr|770.0
855434000665|Jam-e-Shirin 1.5Ltr|780.0
8964000057483|Marhaba Sandal 800ml|420.0
000ap|Arq-e-Podina 800ml|230.0
000am|Arq-e-Mako 800ml|240.0
000aa|Arq-e-Ajwain 800ml|400.0
000ac|Arq-e-Chahar 800ml|240.0
855434009262|Sharbat Ilacheen 800ml|440.0
000ab|Arq-e-Badiyan 800ml|230.0
855434000962|Jam-e-Shirin Suger Free 800ml|450.0
03212|Kamar Kas 50gm|80.0
04048|Munakka 50gm|80.0
04133|Munakka 25gm|40.0
00081|Food Color Sachet|20.0
02166|Ajm Namak 50gm|65.0
00454|Ajm Namak 454gm|550.0
04020|Kala Zeera 25gm|90.0
03209|Dakhni Mirch Powder 25gm|110.0
03238|Dakhni Mirch Sabut 25gm|110.0
03208|Dhania Giri 25gm|75.0
03229|Khakseer 50gm|80.0
04027|Tuk Malanga 50gm|60.0
04064|Jaiphal Javitri Set|120.0
04039|Isabgol Bhusi 50gm|220.0
04040|Isabgol Bhusi 25gm|110.0
04049|Gond 50gm|65.0
000af|Aluminium Foil|280.0
000pf|Plastic Foil|200.0
311530007194|Chap-Off 60|60.0
8850252030049|Arche Cream|120.0
067238891190|Dove Soap Blue|350.0
7501056349288|Dove Soap Pink|350.0
8961014250381|Sunsilk Golden shampoo 185ml|420.0
8961014250374|Sunsilk Pink shampoo 185ml|420.0
8961014261127|Lifebuoy Golden shampoo 175ml|360.0
8961014261073|Lifebuoy Green shampoo 370ml|595.0
8961014261097|Lifebuoy Brown Shampoo 370ml|595.0
8961014261066|Lifebuoy Golden shampoo 370ml|595.0
8961014261141|Lifebuoy Green shampoo 175ml|360.0
8961014250398|Sunsilk Green shampoo 185ml|420.0
8961014246773|Lifebuoy Brown shampoo 175ml|360.0
8001841494333|Pantene Moisture Renewal 185ml|450.0
8001841494159|Pantene Golden 185ml|450.0
8001841494067|Pantene Black 185ml|450.0
8001841494425|Pantene Green 185ml|450.0
8001841494456|Pantene Green 360ml|740.0
8001841494272|Pantene Blue 360ml|740.0
8001841494180|Pantene Golden 360ml|740.0
8001841460505|Head & Shoulders Pink 360ml|790.0
8001841460567|Head & Shoulders Orange 360ml|790.0
8001841460321|Head & Shoulders Blue 360ml|790.0
8001841460710|Head & Shoulders Black 360ml|790.0
8964000833452|Perfect Air Freshener|400.0
8964000833261|Fresh Air Freshener|200.0
8964000834046|UR's Air Freshener|200.0
8964000834626|Topic Air Freshener|220.0
6009689191003|Bio Amla Shampoo 720ml|500.0
4902806000313|Gatsby Gel|500.0
6291101520199|Natural Balm|80.0
8961101234010|Veet 50gm|460.0
8961101234027|Veet 25gm|230.0
5017306008321|Pears Soap Golden|330.0
8901030024023|Pears Soap Blue|350.0
8901030005176|Pears Soap Green|330.0
8964001078180|Golden Pearl Soap|130.0
8961100310159|Hashmi Surmi|118.0
8961100310104|Hashmi Surma|118.0
8964000024829|Forhans Sanitizer 65ml|100.0
8961000025009|Marhaba Long Oil|95.0
8964000057421|Marhaba Kalonji Oil 25ml|155.0
8961014250367|Sunsilk Black shampoo 185ml|420.0
8961014250404|Sunsilk Black Conditionar 185ml|465.0
8961014250411|Sunsilk Pink Conditionar 185ml|465.0
8961014251944|Sunsilk Black shampoo 360ml|720.0
8961014251968|Sunsilk Golden shampoo 360ml|720.0
8961014251951|Sunsilk Pink shampoo 360ml|720.0
8961014251975|Sunsilk Green shampoo 360ml|720.0
8961014255959|Lifebuoy Onion shampoo 175ml|360.0
8961014255966|Lifebuoy Onion shampoo 370ml|595.0
8961014263312|Sunsilk Onion shampoo 380ml|720.0
4792081029334|Clinic Plus 340ml|750.0
8851932399593|Clear Women 330ml|775.0
8961014249217|Clear Men 380ml|790.0
8961014245158|Clear Men 185ml|450.0
8961014245189|Clear Women 185ml|465.0
8001841299365|Head & Shoulders Black 185ml|450.0
8001841299150|Head & Shoulders Blue 185ml|450.0
8001841299303|Head & Shoulders Orange 185ml|450.0
8001841299273|Head & Shoulders Pink 185ml|450.0
8001841299211|Head & Shoulders Almond 185ml|450.0
8001841299181|Head & Shoulders Menthol 185ml|450.0
8006540314159|Head & Shoulders Neem 185ml|450.0
8961014255652|Dove Green Conditionar 180ml|500.0
8961014255645|Dove Blue Conditionar 180ml|500.0
8961014260809|Dove Blue Shampoo 175ml|460.0
8710447224342|TRESemme Shampoo 400ml|800.0
8886950035062|Palmolive Shampoo 180ml|340.0
8886950035123|Palmolive Shampoo 375ml|620.0
182039000111|Samsol Shampoo 200ml|275.0
8964002493678|Vatika Onion 185ml|410.0
6291069712179|Vatika Egg 185ml|370.0
5022496001946|Vatika Shampoo 185ml|390.0
8964001078050|Golden Pearl Face Wash|200.0
8999999053031|Ponds Face Wash Pink 100g|460.0
8961014263039|Ponds Face Wash Pink 50g|275.0
8961014249033|Ponds Face Wash Black 50g|280.0
8999999053048|Ponds Face Wash Black 100g|460.0
8961014236828|Fair & Lovely Face Wash|218.0
8964000578650|Fair Menz Face Wash|175.0
8964001764021|Himalaya Face Wash 50ml|290.0
8850007650843|Clean & Clear Face Wash 50ml|360.0
88531472|Clean & Clear Face Wash 100ml|500.0
04113|Choti Elaichi 25gm|330.0
04605|Choti Elaichi 10gm|150.0
04606|Choti Elaichi 5gm|60.0
04112|Bari Elaichi 25gm|220.0
04507|Badam 250gm|750.0
04526|Badam 100gm|320.0
04509|Badam 50gm|160.0
00321|Badam Pista Set|200.0
04506|Pista 50gm|260.0
04013|Kali Mirch Sabut 50gm|140.0
04014|Kali Mirch Powder 50gm|150.0
04116|Long 25gm|100.0
04115|Long 50gm|200.0
04472|Kishmish 50gm|60.0
04097|Bhuna Chana 100gm|90.0
04031|Bhuna Chana 250gm|180.0
04021|Zeera Powder 50gm|100.0
01027|Daar Cheeni Powder 50gm|80.0
02282|Kabab Cheeni 25gm|35.0
02281|Kashmiri Mirch Powder 50gm|70.0
02297|Safaid Zeera 25gm|45.0
04131|Char Magaz 50gm|90.0
04025|Kachri Powder 50gm|50.0
03233|Alsi 250gm|150.0
03234|Alsi 125gm|75.0
00411|Food Color 25gm|40.0
04720|Sonth Powder 50gm|85.0
04029|Sonth Sabut 50gm|85.0
04053|Gond Katira 50gm|110.0
00202|Chandi Warq|30.0
8964002493319|Vatika Conditionar 180ml|385.0
8964000834336|Laquila Hand Wash 500ml|200.0
6255236458963|Aloe Vera Gel 260ml|150.0
5022496105002|Dabur Amla Oil 100ml|290.0
5022496102001|Dabur Amla Oil 200ml|530.0
5022496100120|Vatika Coconut Oil|400.0
6291069651072|Vatika Almond Oil 200ml|540.0
6291069705348|Vatika Almond Oil 100ml|300.0
00332|Hexit Sanitizer 500ml|510.0
04510|Tibet Powder Jumbo|570.0
8964000578889|Keshia Oil 120ml|350.0
182039000173|Samsol Shampoo 400ml|450.0
6291101522896|Valentine Powder 250gm|330.0
6291101520328|Touchme Talcum Powder 250g|330.0
8964000749937|Black Cat Powder 300g|440.0
6291101522780|Blue Diamond 250gm|330.0
3610340654237|Loreal White Shampoo 175ml|470.0
3610340670404|Loreal Purple Shampoo 175ml|545.0
3610340663468|Loreal Dreem Shampoo 175ml|470.0
3610340655401|Loreal Red Shampoo 175ml|470.0
3610340655326|Loreal Golden Shampoo 175ml|470.0
3610340655388|Loreal Black Shampoo 175ml|470.0
6009689191010|Bio Amla Shampoo 470ml|400.0
6009689191027|Bio Amla Shampoo 280ml|250.0
4792081028245|Clinic Plus 175ml|400.0
8961014243468|TRESemme Conditionar 160ml|510.0
8961014253863|TRESemme Shampoo 170ml|480.0
8961014255799|Lifebuoy Hand Wash|250.0
6009689191089|Bio Amla Hair Oil 100ml|240.0
8964000047132|Kala Kola Hair Tonic 100ml|275.0
3574669907552|Johnsons Shampoo 200ml|600.0
6223000659243|Johnsons Shampoo 100ml|330.0
3574669908030|Johnsons Lotion 200ml|650.0
3574660028096|Johnsons Powder 100g|330.0
8964000982662|Mothercare Shampoo 200ml|470.0
8964000982570|Mothercare Shampoo 110ml|320.0
8964000982846|Mothercare Powder 90gm|240.0
8964000982150|Mothercare Oil 65ml|360.0
6001106209070|Dettol Hand Wash 250ml|540.0
9647452310045|Protect Mouthwash 130ml|215.0
8001090792730|Pantene Conditionar 180ml|450.0
8961103600516|Tapal Danedar 350g|710.0
8961103600585|Tapal Danedar 170g|378.0
8961103600578|Tapal Danedar 85g|180.0
8961103601872|Tapal Mixture 100g|188.0
8961103601889|Tapal Mixture 200g|378.0
858167000070|Olivia Hair Color 7.no|250.0
858167000056|Olivia Hair Color 5.no|250.0
858167000025|Olivia Hair Color 2.no|250.0
858167000049|Olivia Hair Color 4.no|250.0
858167000018|Olivia Hair Color 1.no|250.0
858167000032|Olivia Hair Color 3.no|250.0
858167000568|Olivia Hair Color 11.no|250.0
858167000094|Olivia Hair Color 9.no|250.0
858167000100|Olivia Hair Color 10.no|250.0
858167000087|Olivia Hair Color 8.no|250.0
858167000063|Olivia Hair Color 6.no|250.0
6291101522858|White Lily Powder 250g|330.0
8961100040032|Medora Powder Jumbo|390.0
3610340030222|Garnier Color 2.no|880.0
8964000462287|Garnier Color 5.no|880.0
8964000462263|Garnier Color 4.no|880.0
8964000462232|Garnier Color 1.no|990.0
3600541124868|Garnier Color 4.3.no|880.0
8964000462270|Garnier Color 4.6.no|880.0
8964000047002|Kala Kola Color 1.no|280.0
8964000047019|Kala Kola Color 2.no|280.0
182039000005|Samsol Color 45.no|250.0
182039000050|Samsol Color 42.no|250.0
182039000012|Samsol Color 43.no|250.0
182039000029|Samsol Color 41.no|250.0
8966000002739|Poly Color 45.no|300.0
8966000002715|Poly Color 41.no|300.0
8966000002708|Poly Color 39.no|300.0
858167000575|Olivia Hair Color 12.no|250.0
00250|National Tea 250gm|460.0
00500|National Tea 500gm|920.0
8964000346679|Olper'S Milk 1ltr|340.0
8964000346334|Olper'S Milk 1.5ltr|500.0
8964000919934|Olper'S Milk 250ml|90.0
8964000919712|Olper'S Cream 200ml|220.0
8961008022185|Milk Pak Milk 250ml|90.0
8961008218328|Milk Pak Cream 200ml|230.0
8961008221212|Nesvita Milk 200ml|95.0
6260694900909|Irani Cream|110.0
8961101372064|Nurpur Milk 250ml|90.0
5063305005625|Lipton Gift Pack 430gm|1190.0
8964000008102|Vital Tea 170gm|378.0
8961101372156|Nurpur Mlik 1ltr|340.0
8961008219561|Milk Pak 1ltr|340.0
00284|Sufi Oil 1ltr|594.0
00304|Nurpur 250ml ctn|2200.0
6194058905371|Al Quds Oil 110ml|360.0
8411356773098|Mundial Olive Oil 175ml|550.0
9556001249128|Nescafe Classic 50gm|800.0
9556001249142|Nescafe Classic 100gm|1600.0
42092698|Langnese 125gm|740.0
8023504850102|Langnese 250gm|1350.0
8964000057025|Marhaba Honey 80g|120.0
620514001944|National Strawberry Jam 420g|540.0
620514001920|National Apple Jam 420g|340.0
620514001937|National Mango Jam 420g|340.0
8964000034057|Salmans Marmalade 450g|330.0
8964000034149|Salmans Strawberry Jam 450g|410.0
8964000034002|Salmans Apple Jam 450g|330.0
8964000034101|Salmans Mango Jam 450g|330.0
8964000034019|Salmans Apple Jelly 450g|330.0
8964000034033|Salmans Blackcurrant Jam 450g|410.0
8964000034040|Salmans Cherry Jam 450g|400.0
8964000034118|Salmans Mixed Fruit Jam 450g|370.0
8961005030046|Mitchell'S Mixed Fruit Jam 410g|340.0
8961005040014|Mitchell'S Apple Jelly 410g|340.0
8961005030022|Mitchell'S Apple Jam 410g|340.0
6533411507768|Italia Ginger Paste 330g|370.0
6533411506778|Italia Garlic Paste 330g|350.0
7051055555390|Italia Green Sliced Olives 235g|630.0
6890767865776|Italia Pitted Green Olives 235g|630.0
199628085794|Italia Green Sliced Olives 430g|890.0
6890767861716|Italia Pitted Green Olives 430g|1020.0
8964000062395|Young'S Chocolate Purple|750.0
8964000061701|Young'S Chocolaty 360g|640.0
8964000062739|Young'S Chocolate Yellow|730.0
8964000062388|Young'S Chocolate White|810.0
8964000061725|Young'S Chocolaty Small|360.0
725765615527|Young'S Peanut Butter 340g|830.0
8960350056435|Khopra Oil 250gm|340.0
8960350056428|Khopra Oil 100gm|170.0
661000410001|Swat Honey 1kg|750.0
661000412001|Swat Honey 250gm|250.0
661000413001|Swat Honey 500gm|450.0
620514000671|National Mongo Pickle 320g|270.0
620514000695|National Mixed Pickle 320g|270.0
8964000034637|Salmans Marmalade 200g|230.0
8964000034606|Salmans Peach Jam 200g|230.0
8964000034620|Salmans Apple Jam 200g|230.0
8964000034590|Salmans Mixed Fruit Jam 200g|230.0
8964000034699|Salmans Pizza Sauce 370g|420.0
8964000034538|Salmans Pak-Honey 500g|700.0
8964000035436|Salmans Manchurian Sauce|420.0
8964000034644|Salmans Tomato Puree 370g|420.0
8964000035955|Salmans Pasta Sauce 370g|420.0
8961005040038|Mitchell'S Pineapple Jelly 410g|320.0
8961005050013|Mitchell'S Marmalade 410g|340.0
8961005040205|Mitchell'S Strawberry Jelly 200g|200.0
8961005040045|Mitchell'S Strawberry Jelly 410g|350.0
8961005030404|Mitchell'S Apple Jam 200g|200.0
8964000061718|Young'S Chocolatey 600g|1000.0
8964000061848|Young'S Honey 250g|550.0
8964000061831|Young'S Honey 125g|330.0
8964000057032|Marhaba Honey 300g|500.0
788821123053|Shan Chilli Pickle 300g|330.0
02324|Swat Honey 125gm|140.0
00125|National Tea 100gm|185.0
02137|Taramira Oil 100gm|140.0
02138|Taramira Oil 250gm|280.0
02118|Castor Oil|65.0
06321|Pak Arq-e-Gulab|70.0
00902|Glasreen 100gm|100.0
620514019970|National Mixed Pickle Pouch|100.0
8964002993871|My Way Lotion 500ml|500.0
5905459980512|Al Harmain Wheat Porridge|120.0
5905459980536|Al Harmain Barley Porridge|250.0
245215465446|Chap-Et 30|30.0
2367354722667|Adore Lipbalm|60.0
8961014236866|Fair & Lovely For Men'S 25gm|199.0
8999999003074|Vaseline Green Lotion 100ml|350.0
8999999020354|Vaseline Brown Lotion 100ml|350.0
8999999003098|Vaseline Green Lotion 200ml|680.0
8999999003081|Vaseline Yellow Lotion 100ml|350.0
8999999003050|Vaseline Yellow Lotion 200ml|680.0
8999999719395|Vaseline Pink Lotion 100ml|350.0
8999999719418|Vaseline Pink Lotion 200ml|680.0
8964000034712|Salmans Chocolate Syrup 623g|650.0
8964000034729|Salmans Strawberry Syrup 623g|620.0
